Genus_Species,Subfamily,Diet,Nesting_strata,QinColony_0Mon_1Poly,Morphism_0Mono_1Poly,ColonySize_Median,HeadWidth_mm,MandibleLength_mm,QHeadWidth_mm,QMandibleLength_mm,ColDimorphism,LogColsize
Anochetus_mayri,Ponerinae,Predator,Leaf Litter,-,0,12,0.77425,0.457375,0.891,0.507,1.692812244,1.079181246
Aphaenogaster_ashmeadi,Myrmicinae,Predator,Ground,0,0,333,0.9953333,0.4948333,1.248,0.734,2.011451735,2.522444234
Aphaenogaster_carolinensis,Myrmicinae,Omnivore,Mixed,0,0,29,0.84,0.4305,1.138,0.627,1.951219512,1.462397998
Aphaenogaster_flemingi,Myrmicinae,Omnivore,Ground,-,0,300,0.895,0.302,1.152,0.712,2.963576159,2.477121255
Aphaenogaster_floridana,Myrmicinae,Omnivore,Ground,0,0,50,1.02,0.318,1.31,0.833,3.20754717,1.698970004
Aphaenogaster_fulva,Myrmicinae,Omnivore,Ground,-,0,540.5,0.9916,0.5249,1.15,0.637,1.889121737,2.732795698
Aphaenogaster_lamellidens,Myrmicinae,Omnivore,Mixed,-,0,600,1.0337,0.5486,1.227,0.683,1.88425082,2.77815125
Aphaenogaster_mariae,Myrmicinae,Omnivore,Arboreal,-,0,300,1.0013333,0.5281667,0.717,0.461,1.895866021,2.477121255
Aphaenogaster_miamiana,Myrmicinae,Omnivore,Mixed,0,0,800,1.327,0.763,-,-,1.739187418,2.903089987
Aphaenogaster_rudis,Myrmicinae,Omnivore,Mixed,0,0,416.5,0.89,0.4315,-,-,2.062572422,2.619615006
Aphaenogaster_tennesseensis,Myrmicinae,Omnivore,Mixed,-,0,600,1.1095,0.551125,1.023,0.523,2.01315491,2.77815125
Aphaenogaster_treatae,Myrmicinae,Omnivore,Ground,0,0,300,1.0042,0.5522,1.369,0.808,1.818544006,2.477121255
Aphaenogaster_umphreyi,Myrmicinae,Omnivore,Ground,-,0,-,0.88625,0.4075,-,-,2.174846626,-
Brachymyrmex_depilis,Formicinae,Omnivore,Mixed,-,0,111,0.3804,0.1634,0.487,0.24,2.328029376,2.045322979
Brachymyrmex_minutus,Formicinae,Omnivore,Ground,0,0,125,0.3219,0.122875,0.505,0.293,2.619735504,2.096910013
